rok,kapela,projekt,název,kredit
2018,CHAOZZ,Singl,Průvan,"Mix, Mastering
"
2018,SAX,CD,Sax ve městě,"Mastering
"
2017,GAMBRZ REPRS,CD,Blbá sranda,"Mastering
"
2017,HEY!ZEUS.I & RADIMO,"Digital, Vinyl",Are We Now Here of Nowhere?,Mastering
2017,ZORBA ŽE JA BUDDHA,CD,Rosedout Lambada,"Mix, Mastering"
2017,VR/NOBODY,CD,Proud,"Mix, Mastering"
2017,VLADIMIR 518,CD,Ultra! Ultra!,Mix
2017,"MARAT, WHITE RUSSIAN & VOODOO BEATS",CD,Voodoo Rap,Rec
2016,PRAGO UNION,CD,Smrt Žije,"Mix, Mastering"
2016,"HYPNO 808 ",CD,BMKG 2,Mastering
2015,LE PNEUMATIQ,Digital,Bad Boys,"Rec, Mix, Mastering"
2015,FRANK FLAMES,CD,Sleepwalker,"Mix, Mastering"
2015,JOE HANDAXX,CD,CTTP,"Rec, Mix, Mastering"
2015,MARAT,CD,Mars,"Rec, Mix, Mastering"
2015,YEEZUZ2020,CD,Exodus,Mastering
2015,REFEW,CD,Na Kredit,Mastering
2015,VR/NOBODY,CD,Yet,Mix
2014,CHAMPION SOUND ft. Storm & DJ Static,Vinyl,Come To The Cypher / No Half Steppin,"Rec, Mix, Mastering"
2014,DJEI GOGO ft. Various Artists,Digital,Majestic Riddim,Mastering
2014,VR/NOBODY,Singl,,"Rec, Mix, Mastering"
2014,HUGO TOXXX,CD,Trash Rap,"Mix, Mastering"
2014,MARAT,CD,"0,38 Mixtape","Rec, Mix, Mastering"
2014,ORION,CD,Noční Vidění,Mastering
2014,MESSENJAH,CD,Bojuj Dál,Mastering
2014,MIKE TRAFIK,CD,Vejška OST,Mastering
2014,MADAME PEPPER,"CD, Vinyl",Drummond,"Rec, Mix, Mastering"
2014,DJ MIKE TRAFIK,CD,"Boss Sounds
",Mastering
2013,BEAT BUSTLERS,CD,Hangover,Mastering
2013,MARAT X FREEZER,CD,Král Ládví,"Rec, Mix, Mastering"
2013,GAMBRZ REPRS,CD,Ministerstvo Pro Místní Rozvoj,Mastering
2013,IGOR,CD,Mazafaka,"Rec, Mix, Mastering"
2013,POST-HUDBA,CD,Artefakty,"Produkce, Mix, Mastering"
2013,PRAGO UNION,CD,Vážná Hudba,Mastering
2013,WWW,CD,Atomová včela,"Mix, Mastering"
2013,VLADIMIR 518,CD,Idiot,Mix
2013,CHAMPION SOUND,DVD,#1 Sound,"Rec, Mix, Mastering"
2012,PRINTER,CD,Made in Prague,"Rec, Mastering"
2012,SMACK,CD,2051,"Mix, Mastering"
2012,HUGO TOXXX,CD,Bauch Money - ANDĚL 2012,"Rec, Mix, Mastering"
2012,DJ Enemy,CD,Grand Prix,"Rec, Mix, Mastering"
2012,UNITED HEADS,CD,Pants Down!,"Mix, Mastering"
2012,LE PNEUMATIQ,CD,Seven Sisters,"Produkce, Mix, Mastering"
2011,DEFUCKTO,CD,Triumf,"Mix, Mastering"
2011,DJ ALYAZ,CD,Dj Alyaz presents Drops,Mastering
2011,HUGO TOXXX,CD,Ilegální kecy,Remastering
2011,HUGO TOXXX,CD,Legální drogy,Mix
2011,PRAGO UNION,CD,V barvách - ANDĚL 2011,Mastering
2010,INDY,CD,KMBL,Konzultace
2010,MIKE TRAFIK,CD,HPTN vol 2,Mastering
2010,IdeaFatte,CD,Doma,"Mix, Mastering"
2010,PSH,CD,Epilog,Mix
2010,LA4,CD,Gyzmo,"Mix tracks 3, 9, 12, 13, Mastering"
2010,PRAGO UNION,CD,Dezorient Express - ANDĚL 2010,Mastering
2010,EMERES,CD,Mount Emerest,"Mix, Mastering"
2010,INSIDEKRU,CD,Slyšíš dobře!?,Mastering
2009,GAMBRZ REPRS,CD,Šémhamforáž,Mastering
2009,NIRONIC,CD,I Am Music,Mastering
2009,HENRY D,CD,Man of Honor,Mix
2009,PSH,CD,Zpátky do dnů (The Best Of),Mastering
2009,DJ MIKE TRAFIK,CD,H.N.T.N.,Mastering
2009,VILSY,CD,Lady Rap,"Mix, Mastering"
2009,TAFROB,CD,Sup,Mastering
2009,DAVID STEEL,CD,Bumerang,"Mix, Mastering"
2008,EKTOR & ENEMY,CD,Airon Mejdan,"Mix, Mastering"
